INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
230162224,06/27/2021,04:34:00,BROOKLYN,75,0,,false,,,,<18,M,BLACK,"1,014,210","182,758",40.668262749000064,-73.89200350499993,POINT (-73.89200350499993 40.668262749000064)
228561932,05/21/2021,21:06:00,BROOKLYN,77,0,,false,<18,M,BLACK,25-44,F,WHITE,"994,341","185,941",40.677044310000035,-73.96362125499998,POINT (-73.96362125499998 40.677044310000035)
233790860,09/18/2021,23:17:00,BRONX,44,0,,true,,,,18-24,M,BLACK HISPANIC,"1,010,270","246,284",40.84263777600006,-73.90596032999997,POINT (-73.90596032999997 40.84263777600006)
225295736,03/07/2021,06:15:00,BROOKLYN,75,0,,false,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,"1,020,492","187,865",40.68225681500007,-73.86933111399996,POINT (-73.86933111399996 40.68225681500007)
227647465,05/01/2021,00:22:00,BRONX,46,0,,false,25-44,M,BLACK,25-44,M,BLACK,"1,011,829","249,524",40.85152588600005,-73.90031249299993,POINT (-73.90031249299993 40.85152588600005)
222848394,01/08/2021,05:50:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,false,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"998,481","225,704",40.78617829400008,-73.94861158899994,POINT (-73.94861158899994 40.78617829400008)
229034592,06/02/2021,14:30:00,BRONX,48,0,,false,,,,25-44,M,WHITE HISPANIC,"1,014,004","247,798",40.84678146700002,-73.89245825499995,POINT (-73.89245825499995 40.84678146700002)
225168411,03/04/2021,11:40:00,BRONX,49,0,,false,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,"1,021,657","251,013",40.85557657700008,-73.86477926499998,POINT (-73.86477926499998 40.85557657700008)
224173086,02/09/2021,19:50:00,QUEENS,113,0,PVT HOUSE,false,,,,25-44,M,BLACK,"1,052,651","193,294",40.696968027000025,-73.75332736499998,POINT (-73.75332736499998 40.696968027000025)
230232277,06/29/2021,15:32:00,MANHATTAN,34,0,HOSPITAL,false,,,,18-24,M,BLACK,"1,008,527","257,284",40.872834434000026,-73.91222001499993,POINT (-73.91222001499993 40.872834434000026)
